report_year,vehicles_type,states_name,register_amount,age_used,short_name
2017,MOTOR CYCLES,Queensland,200260,9.9,QLD
2018,PASSENGER VEHICLES,Queensland,2837481,9.6,QLD
2018,CAMPERVANS,Queensland,16607,14.21,QLD
2018,LIGHT COMMERCIAL VEHICLES,Queensland,824950,10.35,QLD
2018,LIGHT RIGID TRUCKS,Queensland,38704,11.31,QLD
2018,HEAVY RIGID TRUCKS,Queensland,73896,14.79,QLD
2018,ARTICULATED TRUCKS,Queensland,22061,11.4,QLD
2018,NON-FREIGHT CARRYING VEHICLES,Queensland,5371,11.84,QLD
2018,BUSES,Queensland,21831,10.91,QLD
2018,MOTOR CYCLES,Queensland,204434,10.14,QLD
2019,PASSENGER VEHICLES,Queensland,2878798,9.7,QLD
2019,CAMPERVANS,Queensland,17444,14.2,QLD
2019,LIGHT COMMERCIAL VEHICLES,Queensland,864268,10.3,QLD
2019,LIGHT RIGID TRUCKS,Queensland,40895,11.2,QLD
2019,HEAVY RIGID TRUCKS,Queensland,75255,14.8,QLD
2019,ARTICULATED TRUCKS,Queensland,22633,11.4,QLD
2019,NON-FREIGHT CARRYING VEHICLES,Queensland,5558,12.2,QLD
2019,BUSES,Queensland,21944,11.1,QLD
2019,MOTOR CYCLES,Queensland,207587,10.5,QLD
2020,PASSENGER VEHICLES,Queensland,2919855,9.9,QLD
2020,CAMPERVANS,Queensland,18131,14.3,QLD
2020,LIGHT COMMERCIAL VEHICLES,Queensland,887239,10.5,QLD
2020,LIGHT RIGID TRUCKS,Queensland,43220,11.2,QLD
2020,HEAVY RIGID TRUCKS,Queensland,76083,14.9,QLD
2020,ARTICULATED TRUCKS,Queensland,23106,11.5,QLD
2020,NON-FREIGHT CARRYING VEHICLES,Queensland,5444,12.3,QLD
2020,BUSES,Queensland,21989,11.5,QLD
2020,MOTOR CYCLES,Queensland,210033,10.8,QLD
2021,PASSENGER VEHICLES,Queensland,2975229,10.1,QLD
2021,CAMPERVANS,Queensland,18608,14.7,QLD
2021,LIGHT COMMERCIAL VEHICLES,Queensland,917546,10.7,QLD
2021,LIGHT RIGID TRUCKS,Queensland,45628,11.3,QLD
2021,HEAVY RIGID TRUCKS,Queensland,77569,15.1,QLD
2021,ARTICULATED TRUCKS,Queensland,23541,11.7,QLD
2021,NON-FREIGHT CARRYING VEHICLES,Queensland,5476,12.2,QLD
2021,BUSES,Queensland,21196,11.8,QLD
2021,MOTOR CYCLES,Queensland,218920,11.2,QLD
2016,PASSENGER VEHICLES,South Australia,1061776,11.3,SA
2016,CAMPERVANS,South Australia,4164,21.2,SA
2016,LIGHT COMMERCIAL VEHICLES,South Australia,199058,11.2,SA
2016,LIGHT RIGID TRUCKS,South Australia,7104,12.1,SA
2016,HEAVY RIGID TRUCKS,South Australia,22886,16.7,SA
2016,ARTICULATED TRUCKS,South Australia,8423,11.2,SA
2016,NON-FREIGHT CARRYING VEHICLES,South Australia,1874,14.6,SA
2016,BUSES,South Australia,5691,11.2,SA
2016,MOTOR CYCLES,South Australia,53724,10.9,SA
2017,PASSENGER VEHICLES,South Australia,1075081,11.3,SA
2017,CAMPERVANS,South Australia,4223,21.3,SA
2017,LIGHT COMMERCIAL VEHICLES,South Australia,205786,11.3,SA
2017,LIGHT RIGID TRUCKS,South Australia,7172,12.3,SA
2017,HEAVY RIGID TRUCKS,South Australia,23096,16.9,SA
2017,ARTICULATED TRUCKS,South Australia,8638,11.6,SA
2017,NON-FREIGHT CARRYING VEHICLES,South Australia,1853,15.2,SA
2017,BUSES,South Australia,5766,11.5,SA
2017,MOTOR CYCLES,South Australia,54389,11.3,SA
2018,PASSENGER VEHICLES,South Australia,1090572,11.42,SA
2018,CAMPERVANS,South Australia,4400,20.85,SA
2018,LIGHT COMMERCIAL VEHICLES,South Australia,212739,11.26,SA
2018,LIGHT RIGID TRUCKS,South Australia,7394,12.35,SA
2018,HEAVY RIGID TRUCKS,South Australia,22918,16.65,SA
2018,ARTICULATED TRUCKS,South Australia,8797,11.45,SA
2018,NON-FREIGHT CARRYING VEHICLES,South Australia,1868,15.08,SA
2018,BUSES,South Australia,5947,11.73,SA
2018,MOTOR CYCLES,South Australia,54325,11.59,SA
2019,PASSENGER VEHICLES,South Australia,1101140,11.6,SA
2019,CAMPERVANS,South Australia,4929,21.3,SA
2019,LIGHT COMMERCIAL VEHICLES,South Australia,220456,11.3,SA
2019,LIGHT RIGID TRUCKS,South Australia,7676,12.3,SA
2019,HEAVY RIGID TRUCKS,South Australia,22828,16.3,SA
2019,ARTICULATED TRUCKS,South Australia,8892,11.4,SA
2019,NON-FREIGHT CARRYING VEHICLES,South Australia,1875,15,SA
2019,BUSES,South Australia,5909,11.8,SA
2019,MOTOR CYCLES,South Australia,55223,12.1,SA
2020,PASSENGER VEHICLES,South Australia,1110427,11.7,SA
2020,CAMPERVANS,South Australia,5050,21,SA
2020,LIGHT COMMERCIAL VEHICLES,South Australia,226726,11.3,SA
2020,LIGHT RIGID TRUCKS,South Australia,7947,12.3,SA
2020,HEAVY RIGID TRUCKS,South Australia,22713,16.2,SA
2020,ARTICULATED TRUCKS,South Australia,8837,11.5,SA
2020,NON-FREIGHT CARRYING VEHICLES,South Australia,1863,15.2,SA
2020,BUSES,South Australia,6077,11.5,SA
2020,MOTOR CYCLES,South Australia,55320,12.5,SA
2021,PASSENGER VEHICLES,South Australia,1131199,11.9,SA
2021,CAMPERVANS,South Australia,5452,21.3,SA
2021,LIGHT COMMERCIAL VEHICLES,South Australia,235666,11.5,SA
2021,LIGHT RIGID TRUCKS,South Australia,8267,12.3,SA
2021,HEAVY RIGID TRUCKS,South Australia,22874,16.1,SA
2021,ARTICULATED TRUCKS,South Australia,9021,11.7,SA
2021,NON-FREIGHT CARRYING VEHICLES,South Australia,1888,15.2,SA
2021,BUSES,South Australia,6008,11.8,SA
2021,MOTOR CYCLES,South Australia,57524,12.7,SA
2016,PASSENGER VEHICLES,Western Australia,1583939,10.1,WA
2016,CAMPERVANS,Western Australia,8154,22.6,WA
2016,LIGHT COMMERCIAL VEHICLES,Western Australia,380403,10.7,WA
2016,LIGHT RIGID TRUCKS,Western Australia,17293,11.1,WA
2016,HEAVY RIGID TRUCKS,Western Australia,54219,17.1,WA
2016,ARTICULATED TRUCKS,Western Australia,15609,12.1,WA
2016,NON-FREIGHT CARRYING VEHICLES,Western Australia,5214,15.9,WA
2016,BUSES,Western Australia,15362,11,WA
2016,MOTOR CYCLES,Western Australia,128619,11.3,WA
2017,PASSENGER VEHICLES,Western Australia,1593001,10.3,WA
2017,CAMPERVANS,Western Australia,8020,22.8,WA
2017,LIGHT COMMERCIAL VEHICLES,Western Australia,383778,10.9,WA
2017,LIGHT RIGID TRUCKS,Western Australia,17502,11.4,WA
2017,HEAVY RIGID TRUCKS,Western Australia,53899,17.4,WA
2017,ARTICULATED TRUCKS,Western Australia,15242,12.6,WA
2017,NON-FREIGHT CARRYING VEHICLES,Western Australia,5244,16.1,WA
2017,BUSES,Western Australia,14746,11.1,WA
2017,MOTOR CYCLES,Western Australia,127859,11.9,WA
2018,PASSENGER VEHICLES,Western Australia,1602966,10.48,WA
2018,CAMPERVANS,Western Australia,7993,22.99,WA
2018,LIGHT COMMERCIAL VEHICLES,Western Australia,388178,11.06,WA
2018,LIGHT RIGID TRUCKS,Western Australia,18107,11.47,WA
2018,HEAVY RIGID TRUCKS,Western Australia,53367,17.76,WA
2018,ARTICULATED TRUCKS,Western Australia,15368,12.89,WA
2018,NON-FREIGHT CARRYING VEHICLES,Western Australia,5277,16.39,WA
2018,BUSES,Western Australia,14661,11.45,WA
2018,MOTOR CYCLES,Western Australia,125647,12.46,WA
2019,PASSENGER VEHICLES,Western Australia,1611974,10.7,WA
2019,CAMPERVANS,Western Australia,7994,22.9,WA
2019,LIGHT COMMERCIAL VEHICLES,Western Australia,393709,11.2,WA
2019,LIGHT RIGID TRUCKS,Western Australia,18894,11.5,WA
2019,HEAVY RIGID TRUCKS,Western Australia,53228,17.9,WA
2019,ARTICULATED TRUCKS,Western Australia,15833,13.1,WA
2019,NON-FREIGHT CARRYING VEHICLES,Western Australia,5154,16.5,WA
2019,BUSES,Western Australia,14698,11.6,WA
2019,MOTOR CYCLES,Western Australia,123487,13.1,WA
2020,PASSENGER VEHICLES,Western Australia,1631779,11,WA
2020,CAMPERVANS,Western Australia,8336,23,WA
2020,LIGHT COMMERCIAL VEHICLES,Western Australia,406009,11.6,WA
2020,LIGHT RIGID TRUCKS,Western Australia,19071,12,WA
2020,HEAVY RIGID TRUCKS,Western Australia,54112,18.2,WA
2020,ARTICULATED TRUCKS,Western Australia,16206,13.4,WA
2020,NON-FREIGHT CARRYING VEHICLES,Western Australia,5056,15.3,WA
2020,BUSES,Western Australia,14945,11.7,WA
2020,MOTOR CYCLES,Western Australia,123245,13.7,WA
2021,PASSENGER VEHICLES,Western Australia,1653342,11.2,WA
2021,CAMPERVANS,Western Australia,8405,22.9,WA
2021,LIGHT COMMERCIAL VEHICLES,Western Australia,417115,11.6,WA
2021,LIGHT RIGID TRUCKS,Western Australia,19987,11.8,WA
2021,HEAVY RIGID TRUCKS,Western Australia,54718,18.2,WA
2021,ARTICULATED TRUCKS,Western Australia,17086,13.7,WA
2021,NON-FREIGHT CARRYING VEHICLES,Western Australia,5100,15.2,WA
2021,BUSES,Western Australia,15042,11.6,WA
2021,MOTOR CYCLES,Western Australia,123917,14.1,WA
2016,PASSENGER VEHICLES,Tasmania,316904,12.2,TAS
2016,CAMPERVANS,Tasmania,4588,21.9,TAS
2016,LIGHT COMMERCIAL VEHICLES,Tasmania,99346,13.3,TAS
2016,LIGHT RIGID TRUCKS,Tasmania,3356,14.6,TAS
2016,HEAVY RIGID TRUCKS,Tasmania,8838,17.8,TAS
2016,ARTICULATED TRUCKS,Tasmania,1721,10.9,TAS
2016,NON-FREIGHT CARRYING VEHICLES,Tasmania,965,16.7,TAS
2016,BUSES,Tasmania,2818,15.1,TAS
2016,MOTOR CYCLES,Tasmania,19093,12,TAS
2017,PASSENGER VEHICLES,Tasmania,324174,12.3,TAS
2017,CAMPERVANS,Tasmania,4714,22.3,TAS
2017,LIGHT COMMERCIAL VEHICLES,Tasmania,102580,13.4,TAS
2017,LIGHT RIGID TRUCKS,Tasmania,3581,14.6,TAS
2017,HEAVY RIGID TRUCKS,Tasmania,8999,17.9,TAS
2017,ARTICULATED TRUCKS,Tasmania,1808,11.1,TAS
2017,NON-FREIGHT CARRYING VEHICLES,Tasmania,972,17,TAS
2017,BUSES,Tasmania,2859,15.3,TAS
2017,MOTOR CYCLES,Tasmania,19780,12.5,TAS
2018,PASSENGER VEHICLES,Tasmania,330910,12.32,TAS
2018,CAMPERVANS,Tasmania,4883,22.33,TAS
2018,LIGHT COMMERCIAL VEHICLES,Tasmania,106102,13.43,TAS
2018,LIGHT RIGID TRUCKS,Tasmania,3773,14.68,TAS
2018,HEAVY RIGID TRUCKS,Tasmania,9271,18.04,TAS
2018,ARTICULATED TRUCKS,Tasmania,1900,11.24,TAS
2018,NON-FREIGHT CARRYING VEHICLES,Tasmania,942,16.92,TAS
2018,BUSES,Tasmania,2906,15.46,TAS
2018,MOTOR CYCLES,Tasmania,20248,12.88,TAS
2019,PASSENGER VEHICLES,Tasmania,338229,12.4,TAS
2019,CAMPERVANS,Tasmania,5021,22.4,TAS
2019,LIGHT COMMERCIAL VEHICLES,Tasmania,110109,13.5,TAS
2019,LIGHT RIGID TRUCKS,Tasmania,4053,14.5,TAS
2019,HEAVY RIGID TRUCKS,Tasmania,9510,18.1,TAS
2019,ARTICULATED TRUCKS,Tasmania,2057,11.3,TAS
2019,NON-FREIGHT CARRYING VEHICLES,Tasmania,941,17.1,TAS
2019,BUSES,Tasmania,3008,15.3,TAS
2019,MOTOR CYCLES,Tasmania,20430,13.4,TAS
2020,PASSENGER VEHICLES,Tasmania,345929,12.5,TAS
2020,CAMPERVANS,Tasmania,5157,22.3,TAS
2020,LIGHT COMMERCIAL VEHICLES,Tasmania,114299,13.5,TAS
2020,LIGHT RIGID TRUCKS,Tasmania,4281,14.5,TAS
2020,HEAVY RIGID TRUCKS,Tasmania,9761,18.1,TAS
2020,ARTICULATED TRUCKS,Tasmania,2140,11.4,TAS
2020,NON-FREIGHT CARRYING VEHICLES,Tasmania,993,17.1,TAS
2020,BUSES,Tasmania,3112,14.9,TAS
2020,MOTOR CYCLES,Tasmania,20719,13.8,TAS
2021,PASSENGER VEHICLES,Tasmania,349959,12.9,TAS
2021,CAMPERVANS,Tasmania,5283,22.8,TAS
2021,LIGHT COMMERCIAL VEHICLES,Tasmania,118901,13.7,TAS
2021,LIGHT RIGID TRUCKS,Tasmania,4543,14.6,TAS
2021,HEAVY RIGID TRUCKS,Tasmania,10042,18.3,TAS
2021,ARTICULATED TRUCKS,Tasmania,2245,11.7,TAS
2021,NON-FREIGHT CARRYING VEHICLES,Tasmania,1064,16.9,TAS
2021,BUSES,Tasmania,3042,14.9,TAS
2021,MOTOR CYCLES,Tasmania,21372,14.3,TAS
2016,PASSENGER VEHICLES,Northern Territory,95196,8.9,NT
2016,CAMPERVANS,Northern Territory,223,19.4,NT
2016,LIGHT COMMERCIAL VEHICLES,Northern Territory,44419,9.1,NT
2016,LIGHT RIGID TRUCKS,Northern Territory,623,12.6,NT
2016,HEAVY RIGID TRUCKS,Northern Territory,4724,12.9,NT
2016,ARTICULATED TRUCKS,Northern Territory,1259,12.1,NT
2016,NON-FREIGHT CARRYING VEHICLES,Northern Territory,368,13.6,NT
2016,BUSES,Northern Territory,3964,9.1,NT
2016,MOTOR CYCLES,Northern Territory,6941,7.7,NT
2017,PASSENGER VEHICLES,Northern Territory,94142,9,NT
2017,CAMPERVANS,Northern Territory,214,20,NT
2017,LIGHT COMMERCIAL VEHICLES,Northern Territory,43854,9.2,NT
2017,LIGHT RIGID TRUCKS,Northern Territory,633,13.1,NT
2017,HEAVY RIGID TRUCKS,Northern Territory,4633,13.2,NT
2017,ARTICULATED TRUCKS,Northern Territory,1145,12.7,NT
2017,NON-FREIGHT CARRYING VEHICLES,Northern Territory,357,14.1,NT
2017,BUSES,Northern Territory,3768,9.4,NT
2017,MOTOR CYCLES,Northern Territory,6616,8,NT
2018,PASSENGER VEHICLES,Northern Territory,100118,9.15,NT
2018,CAMPERVANS,Northern Territory,218,19.95,NT
2018,LIGHT COMMERCIAL VEHICLES,Northern Territory,44730,9.35,NT
2018,LIGHT RIGID TRUCKS,Northern Territory,723,13.15,NT
2018,HEAVY RIGID TRUCKS,Northern Territory,4718,13.57,NT
2018,ARTICULATED TRUCKS,Northern Territory,1149,13.01,NT
2018,NON-FREIGHT CARRYING VEHICLES,Northern Territory,362,13.66,NT
2018,BUSES,Northern Territory,3911,9.55,NT
2018,MOTOR CYCLES,Northern Territory,6571,8.49,NT
2019,PASSENGER VEHICLES,Northern Territory,99687,9.3,NT
2019,CAMPERVANS,Northern Territory,193,20.3,NT
2019,LIGHT COMMERCIAL VEHICLES,Northern Territory,44975,9.5,NT
2019,LIGHT RIGID TRUCKS,Northern Territory,860,12.6,NT
2019,HEAVY RIGID TRUCKS,Northern Territory,4638,13.8,NT
2019,ARTICULATED TRUCKS,Northern Territory,1163,13.2,NT
2019,NON-FREIGHT CARRYING VEHICLES,Northern Territory,376,14.2,NT
2019,BUSES,Northern Territory,3647,9.9,NT
2019,MOTOR CYCLES,Northern Territory,6096,8.7,NT
2020,PASSENGER VEHICLES,Northern Territory,99311,9.5,NT
2020,CAMPERVANS,Northern Territory,189,19.9,NT
2020,LIGHT COMMERCIAL VEHICLES,Northern Territory,44762,9.7,NT
2020,LIGHT RIGID TRUCKS,Northern Territory,769,12.8,NT
2020,HEAVY RIGID TRUCKS,Northern Territory,4593,13.9,NT
2020,ARTICULATED TRUCKS,Northern Territory,1171,13.1,NT
2020,NON-FREIGHT CARRYING VEHICLES,Northern Territory,388,14.3,NT
2020,BUSES,Northern Territory,3532,10.4,NT
2020,MOTOR CYCLES,Northern Territory,5759,9.1,NT
2021,PASSENGER VEHICLES,Northern Territory,100676,9.9,NT
2021,CAMPERVANS,Northern Territory,211,20,NT
2021,LIGHT COMMERCIAL VEHICLES,Northern Territory,45502,10,NT
2021,LIGHT RIGID TRUCKS,Northern Territory,799,13.2,NT
2021,HEAVY RIGID TRUCKS,Northern Territory,4647,14.3,NT
2021,ARTICULATED TRUCKS,Northern Territory,1221,13.4,NT
2021,NON-FREIGHT CARRYING VEHICLES,Northern Territory,379,13.8,NT
2021,BUSES,Northern Territory,3328,10.6,NT
2021,MOTOR CYCLES,Northern Territory,5878,9.2,NT
2016,PASSENGER VEHICLES,Australian Capital Territory,240946,9.3,ACT
2016,CAMPERVANS,Australian Capital Territory,444,19.1,ACT
2016,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,29817,9.4,ACT
2016,LIGHT RIGID TRUCKS,Australian Capital Territory,1044,10.2,ACT
2016,HEAVY RIGID TRUCKS,Australian Capital Territory,1621,11.7,ACT
2016,ARTICULATED TRUCKS,Australian Capital Territory,160,10.1,ACT
2016,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,132,9.1,ACT
2016,BUSES,Australian Capital Territory,1051,11.2,ACT
2016,MOTOR CYCLES,Australian Capital Territory,13102,9.6,ACT
2017,PASSENGER VEHICLES,Australian Capital Territory,247171,9.3,ACT
2017,CAMPERVANS,Australian Capital Territory,436,18.1,ACT
2017,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,30696,9.5,ACT
2017,LIGHT RIGID TRUCKS,Australian Capital Territory,1190,9.8,ACT
2017,HEAVY RIGID TRUCKS,Australian Capital Territory,1614,11.5,ACT
2017,ARTICULATED TRUCKS,Australian Capital Territory,169,10.4,ACT
2017,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,135,9.2,ACT
2017,BUSES,Australian Capital Territory,1043,11,ACT
2017,MOTOR CYCLES,Australian Capital Territory,13179,9.7,ACT
2018,PASSENGER VEHICLES,Australian Capital Territory,252771,9.3,ACT
2018,CAMPERVANS,Australian Capital Territory,452,18.38,ACT
2018,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,31927,9.39,ACT
2018,LIGHT RIGID TRUCKS,Australian Capital Territory,1309,9.93,ACT
2018,HEAVY RIGID TRUCKS,Australian Capital Territory,1610,11.5,ACT
2018,ARTICULATED TRUCKS,Australian Capital Territory,168,10.32,ACT
2018,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,140,9.71,ACT
2018,BUSES,Australian Capital Territory,1080,10.63,ACT
2018,MOTOR CYCLES,Australian Capital Territory,13111,9.83,ACT
2019,PASSENGER VEHICLES,Australian Capital Territory,257950,9.4,ACT
2019,CAMPERVANS,Australian Capital Territory,473,18.4,ACT
2019,LIGHT COMMERCIAL VEHICLES,Australian Capital Territory,32864,9.4,ACT
2019,LIGHT RIGID TRUCKS,Australian Capital Territory,1390,9.8,ACT
2019,HEAVY RIGID TRUCKS,Australian Capital Territory,1651,11.7,ACT
2019,ARTICULATED TRUCKS,Australian Capital Territory,184,10.5,ACT
2019,NON-FREIGHT CARRYING VEHICLES,Australian Capital Territory,141,10,ACT
